W21,15,10,11,1111,110.
W21,16,11,11,1111,1111.
W21,17,11,1,1001,1111.
W22,15,110,1111,1100,100.
W22,16,1111,1111,1101,1110.
W22,17,1111,1001,1000,1100.
W22,28,10,11,1111,110.
W22,29,11,11,1111,1111.
W22,30,11,1,1001,1111.
W23,16,110,1001,1001,110.
W23,19,10,11,1101,110.
W23,20,11,11,1100,1100.
W23,21,11,11,1101,1110.
W23,22,11,11,1100,1100.
W23,23,11,11,1101,1110.
W23,24,11,11,1100,1100.
W23,25,11,1,1000,1100.
W23,28,110,1111,1100,100.
W23,29,1111,1111,1101,1110.
W23,30,1111,1001,1000,1100.
W24,12,10,11,1101,110.
W24,13,11,11,1100,1100.
W24,14,11,1,1001,1110.
W24,16,110,1011,1111,110.
W24,17,11,1,1001,1111.
W24,19,110,1001,1001,110.
W24,21,110,1001,1001,110.
W24,23,110,1001,1001,110.
W24,26,10,11,1111,110.
W24,27,11,1,1001,1111.
W24,29,110,1001,1001,110.
W25,12,110,1001,1001,110.
W25,14,110,1011,1101,110.
W25,15,11,11,1100,1100.
W25,16,111,1111,1111,1110.
W25,17,1111,1011,1101,1111.
W25,18,11,11,1100,1100.
W25,19,111,1011,1101,1110.
W25,20,11,11,1100,1100.
W25,21,111,1011,1101,1110.
W25,22,11,11,1100,1100.
W25,23,111,1011,1101,1110.
W25,24,11,11,1100,1100.
W25,25,11,11,1100,1100.
W25,26,111,1111,1111,1110.
W25,27,1111,1011,1101,1111.
W25,28,11,11,1100,1100.
W25,29,111,1001,1001,1110.
W26,12,110,1011,1100,100.
W26,13,11,11,1100,1100.
W26,14,111,1001,1000,1100.
W26,16,110,1111,1101,110.
W26,17,1111,1001,1000,1100.
W26,19,110,1001,1001,110.
W26,21,110,1001,1001,110.
W26,23,110,1001,1001,110.
W26,26,110,1111,1100,100.
W26,27,1111,1001,1000,1100.
W26,29,110,1001,1001,110.
W27,16,110,1001,1001,110.
W27,19,110,1011,1100,100.
W27,20,11,11,1100,1100.
W27,21,111,1011,1100,1100.
W27,22,11,11,1100,1100.
W27,23,111,1011,1100,1100.
W27,24,11,11,1100,1100.
W27,25,11,1,1000,1100.
W27,28,10,11,1111,110.
W27,29,111,1011,1111,1111.
W27,30,11,1,1001,1111.
W28,15,10,11,1111,110.
W28,16,111,1011,1111,1111.
W28,17,11,1,1001,1111.
W28,28,110,1111,1100,100.
W28,29,1111,1111,1100,1100.
W28,30,1111,1001,1000,1100.
W29,15,110,1111,1100,100.
W29,16,1111,1111,1100,1100.
W29,17,1111,1001,1000,1100.
